,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
6448,une sage-femme,a midwife,metiers professions,,a midwife,midwife,midwif,une sagefemme,sagefemme,sagefemm
6449,une serveuse,a waitress,metiers professions,,a waitress,waitress,waitress,une serveuse,serveuse,serveus
6450,l’afghanistan,afghanistan,metiers professions,,afghanistan,afghanistan,afghanistan,l’afghanistan,’ afghanistan,’ afghanistan
6451,l’afrique du sud,south africa,pays du monde en,,south africa,south africa,south africa,l’afrique du sud,’ afrique sud,’ afrique sud
6452,l’albanie,albania,pays du monde en,,albania,albania,albania,l’albanie,’ albanie,’ albani
6453,l’algérie,algeria,pays du monde en,,algeria,algeria,algeria,l’algérie,’ algérie,’ algéri
6454,l’allemagne,germany,pays du monde en,,germany,germany,germani,l’allemagne,’ allemagne,’ allemagn
6455,l’angola,angola,pays du monde en,,angola,angola,angola,l’angola,’ angola,’ angola
6456,l’arabie saoudite,saudi arabia,pays du monde en,,saudi arabia,saudi arabia,saudi arabia,l’arabie saoudite,’ arabie saoudite,’ arabie saoudit
6457,l’argentine,argentina,pays du monde en,,argentina,argentina,argentina,l’argentine,’ argentine,’ argentin
6458,l’arménie,armenia,pays du monde en,,armenia,armenia,armenia,l’arménie,’ arménie,’ arméni
6459,l’australie,australia,pays du monde en,,australia,australia,australia,l’australie,’ australie,’ australi
6460,l’autriche,austria,pays du monde en,,austria,austria,austria,l’autriche,’ autriche,’ autrich
6461,l’azerbaïdjan,azerbaijan,pays du monde en,,azerbaijan,azerbaijan,azerbaijan,l’azerbaïdjan,’ azerbaïdjan,’ azerbaïdjan
6462,l’égypte,egypt,pays du monde en,,egypt,egypt,egypt,l’égypte,’ égypte,’ égypt
6463,l’équateur,ecuador,pays du monde en,,ecuador,ecuador,ecuador,l’équateur,’ équateur,’ équateur
6464,l’érythrée,eritrea,pays du monde en,,eritrea,eritrea,eritrea,l’érythrée,’ érythrée,’ érythré
6465,l’espagne,spain,pays du monde en,,spain,spain,spain,l’espagne,’ espagne,’ espagn
6466,l’estonie,estonia,pays du monde en,,estonia,estonia,estonia,l’estonie,’ estonie,’ estoni
6467,l’éthiopie,ethiopia,pays du monde en,,ethiopia,ethiopia,ethiopia,l’éthiopie,’ éthiopie,’ éthiopi
6468,l’île de la grenade,grenada,pays du monde en,,grenada,grenada,grenada,l’île de la grenade,’ île grenade,’ île grenad
6469,l’inde,india,pays du monde en,,india,india,india,l’inde,’ inde,’ ind
6470,l’indonésie,indonesia,pays du monde en,,indonesia,indonesia,indonesia,l’indonésie,’ indonésie,’ indonési
6471,l’iran,iran,pays du monde en,,iran,iran,iran,l’iran,’ iran,’ iran
6472,l’iraq,iraq,pays du monde en,,iraq,iraq,iraq,l’iraq,’ iraq,’ iraq
6473,l’irlande,ireland,pays du monde en,,ireland,ireland,ireland,l’irlande,’ irlande,’ irland
6474,l’islande,iceland,pays du monde en,,iceland,iceland,iceland,l’islande,’ islande,’ island
6475,l’italie,italy,pays du monde en,,italy,italy,itali,l’italie,’ italie,’ itali
6476,l’ouganda,uganda,pays du monde en,,uganda,uganda,uganda,l’ouganda,’ ouganda,’ ouganda
6477,l’ouzbékistan,uzbekistan,pays du monde en,,uzbekistan,uzbekistan,uzbekistan,l’ouzbékistan,’ ouzbékistan,’ ouzbékistan
6478,l’ukraine,ukraine,pays du monde en,,ukraine,ukraine,ukrain,l’ukraine,’ ukraine,’ ukrain
6479,l’uruguay,uruguay,pays du monde en,,uruguay,uruguay,uruguay,l’uruguay,’ uruguay,’ uruguay
6480,la belgique,belgium,pays du monde en,,belgium,belgium,belgium,la belgique,belgique,belgiqu
6481,la biélorussie,belarus,pays du monde en,,belarus,belarus,belaru,la biélorussie,biélorussie,biélorussi
6482,la birmanie/le myanmar,burma/myanmar,pays du monde en,,burmamyanmar,burmamyanmar,burmamyanmar,la birmaniele myanmar,birmaniele myanmar,birmaniele myanmar
6483,la bolivie,bolivia,pays du monde en,,bolivia,bolivia,bolivia,la bolivie,bolivie,bolivi
6484,la bosnie,bosnia and herzegovina,pays du monde en,,bosnia and herzegovina,bosnia herzegovina,bosnia herzegovina,la bosnie,bosnie,bosni
6485,la bulgarie,bulgaria,pays du monde en,,bulgaria,bulgaria,bulgaria,la bulgarie,bulgarie,bulgari
6486,la chine,china,pays du monde en,,china,china,china,la chine,chine,chine
6487,la colombie,colombia,pays du monde en,,colombia,colombia,colombia,la colombie,colombie,colombi
6488,la corée du nord,north korea,pays du monde en,,north korea,north korea,north korea,la corée du nord,corée nord,corée nord
6489,la corée du sud,south korea,pays du monde en,,south korea,south korea,south korea,la corée du sud,corée sud,corée sud
6490,la côte d’ivoire,ivory coast,pays du monde en,,ivory coast,ivory coast,ivory coast,la côte d’ivoire,côte ’ ivoire,côte ’ ivoir
6491,la croatie,croatia,pays du monde en,,croatia,croatia,croatia,la croatie,croatie,croati
6492,la finlande,finland,pays du monde en,,finland,finland,finland,la finlande,finlande,finland
6493,la france,france,pays du monde en,,france,france,franc,la france,france,franc
6494,la géorgie,georgia,pays du monde en,,georgia,georgia,georgia,la géorgie,géorgie,géorgi
6495,la grèce,greece,pays du monde en,,greece,greece,greec,la grèce,grèce,grèce
6496,la guinée,guinea,pays du monde en,,guinea,guinea,guinea,la guinée,guinée,guiné
6497,la guinée équatoriale,equatorial guinea,pays du monde en,,equatorial guinea,equatorial guinea,equatorial guinea,la guinée équatoriale,guinée équatoriale,guinée équatorial
6498,la guyane,guyana,pays du monde en,,guyana,guyana,guyana,la guyane,guyane,guyan
6499,la hongrie,hungary,pays du monde en,,hungary,hungary,hungari,la hongrie,hongrie,hongri
6500,la jamaïque,jamaica,pays du monde en,,jamaica,jamaica,jamaica,la jamaïque,jamaïque,jamaïqu
6501,la jordanie,jordan,pays du monde en,,jordan,jordan,jordan,la jordanie,jordanie,jordani
6502,la lettonie,latvia,pays du monde en,,latvia,latvia,latvia,la lettonie,lettonie,lettoni
6503,la libye,libya,pays du monde en,,libya,libya,libya,la libye,libye,liby
6504,la lituanie,lithuania,pays du monde en,,lithuania,lithuania,lithuania,la lituanie,lituanie,lituani
6505,la macédoine,macedonia,pays du monde en,,macedonia,macedonia,macedonia,la macédoine,macédoine,macédoin
6506,la malaisie,malaysia,pays du monde en,,malaysia,malaysia,malaysia,la malaisie,malaisie,malaisi
6507,la mauritanie,mauritania,pays du monde en,,mauritania,mauritania,mauritania,la mauritanie,mauritanie,mauritani
6508,la micronésie,micronesia (the federated states of),pays du monde en,,micronesia the federated states of,micronesia federated states,micronesia federated st,la micronésie,micronésie,micronési
6509,la moldavie,moldova,pays du monde en,,moldova,moldova,moldova,la moldavie,moldavie,moldavi
6510,la mongolie,mongolia,pays du monde en,,mongolia,mongolia,mongolia,la mongolie,mongolie,mongoli
6511,la namibie,namibia,pays du monde en,,namibia,namibia,namibia,la namibie,namibie,namibi
6512,la norvège,norway,pays du monde en,,norway,norway,norway,la norvège,norvège,norvèg
6513,la nouvelle-zélande,new zealand,pays du monde en,,new zealand,new zealand,new zealand,la nouvellezélande,nouvellezélande,nouvellezéland
6514,la papouasie nouvelle-guinée,papua new guinea,pays du monde en,,papua new guinea,papua new guinea,papua new guinea,la papouasie nouvelleguinée,papouasie nouvelleguinée,papouasie nouvelleguiné
6515,la pologne,poland,pays du monde en,,poland,poland,poland,la pologne,pologne,pologn
6516,la république dominicaine,dominican republic (the),pays du monde en,,dominican republic the,dominican republic,dominican republ,la république dominicaine,république dominicaine,république dominicain
6517,la république tchèque,czech republic (the),pays du monde en,,czech republic the,czech republic,czech republ,la république tchèque,république tchèque,république tchèqu
6518,la roumanie,romania,pays du monde en,,romania,romania,romania,la roumanie,roumanie,roumani
6519,la russie,russia,pays du monde en,,russia,russia,russia,la russie,russie,russi
6520,la sierra leone,sierra leone,pays du monde en,,sierra leone,sierra leone,sierra leon,la sierra leone,sierra leone,sierra leon
6521,la slovaquie,slovakia,pays du monde en,,slovakia,slovakia,slovakia,la slovaquie,slovaquie,slovaqui
6522,la slovénie,slovenia,pays du monde en,,slovenia,slovenia,slovenia,la slovénie,slovénie,slovéni
6523,la somalie,somalia,pays du monde en,,somalia,somalia,somalia,la somalie,somalie,somali
6524,la suède,sweden,pays du monde en,,sweden,sweden,sweden,la suède,suède,suèd
6525,la suisse,switzerland,pays du monde en,,switzerland,switzerland,switzerland,la suisse,suisse,suiss
6526,la syrie,syria,pays du monde en,,syria,syria,syria,la syrie,syrie,syri
6527,la tanzanie,tanzania,pays du monde en,,tanzania,tanzania,tanzania,la tanzanie,tanzanie,tanzani
6528,la thaïlande,thailand,pays du monde en,,thailand,thailand,thailand,la thaïlande,thaïlande,thaïland
6529,la tunisie,tunisia,pays du monde en,,tunisia,tunisia,tunisia,la tunisie,tunisie,tunisi
6530,la turquie,turkey,pays du monde en,,turkey,turkey,turkey,la turquie,turquie,turqui
6531,la yougoslavie,yougoslavia,pays du monde en,,yougoslavia,yougoslavia,yougoslavia,la yougoslavie,yougoslavie,yougoslavi
6532,le bahreïn,bahrain,pays du monde en,,bahrain,bahrain,bahrain,le bahreïn,bahreïn,bahreïn
6533,le bangladesh,bangladesh,pays du monde en,,bangladesh,bangladesh,bangladesh,le bangladesh,bangladesh,bangladesh
6534,le belize,belize,pays du monde en,,belize,belize,beliz,le belize,belize,beliz
6535,le bénin,benin,pays du monde en,,benin,benin,benin,le bénin,bénin,bénin
6536,le bhoutan,bhutan,pays du monde en,,bhutan,bhutan,bhutan,le bhoutan,bhoutan,bhoutan
6537,le botswana,botswana,pays du monde en,,botswana,botswana,botswana,le botswana,botswana,botswana
6538,le brésil,brazil,pays du monde en,,brazil,brazil,brazil,le brésil,brésil,brésil
6539,le brunei,brunei,pays du monde en,,brunei,brunei,brunei,le brunei,brunei,brunei
6540,le burkina,burkina,pays du monde en,,burkina,burkina,burkina,le burkina,burkina,burkina
6541,le burundi,burundi,pays du monde en,,burundi,burundi,burundi,le burundi,burundi,burundi
6542,le cambodge,cambodia,pays du monde en,,cambodia,cambodia,cambodia,le cambodge,cambodge,cambodg
6543,le cameroun,cameroon,pays du monde en,,cameroon,cameroon,cameroon,le cameroun,cameroun,cameroun
6544,le canada,canada,pays du monde en,,canada,canada,canada,le canada,canada,canada
6545,le cap vert,cape verde,pays du monde en,,cape verde,cape verde,cape verd,le cap vert,cap vert,cap vert
6546,le chili,chile,pays du monde en,,chile,chile,chile,le chili,chili,chili
6547,le congo,congo (the),pays du monde en,,congo the,congo,congo,le congo,congo,congo
6548,le costa rica,costa rica,pays du monde en,,costa rica,costa rica,costa rica,le costa rica,costa rica,costa rica
6549,le danemark,denmark,pays du monde en,,denmark,denmark,denmark,le danemark,danemark,danemark
6550,le gabon,gabon,pays du monde en,,gabon,gabon,gabon,le gabon,gabon,gabon
6551,le gambie,gambia (the),pays du monde en,,gambia the,gambia,gambia,le gambie,gambie,gambi
6552,le ghana,ghana,pays du monde en,,ghana,ghana,ghana,le ghana,ghana,ghana
6553,le guatemala,guatemala,pays du monde en,,guatemala,guatemala,guatemala,le guatemala,guatemala,guatemala
6554,le honduras,honduras,pays du monde en,,honduras,honduras,hondura,le honduras,honduras,hondura
6555,le japon,japan,pays du monde en,,japan,japan,japan,le japon,japon,japon
6556,le kazakhstan,kazakhstan,pays du monde en,,kazakhstan,kazakhstan,kazakhstan,le kazakhstan,kazakhstan,kazakhstan
6557,le kenya,kenya,pays du monde en,,kenya,kenya,kenya,le kenya,kenya,kenya
6558,le kirghizstan,kyrgyzstan,pays du monde en,,kyrgyzstan,kyrgyzstan,kyrgyzstan,le kirghizstan,kirghizstan,kirghizstan
6559,le koweït,kuwait,pays du monde en,,kuwait,kuwait,kuwait,le koweït,koweït,koweït
6560,le laos,laos,pays du monde en,,laos,laos,lao,le laos,laos,lao
6561,le lesotho,lesotho,pays du monde en,,lesotho,lesotho,lesotho,le lesotho,lesotho,lesotho
6562,le liban,lebanon,pays du monde en,,lebanon,lebanon,lebanon,le liban,liban,liban
6563,le liberia,liberia,pays du monde en,,liberia,liberia,liberia,le liberia,liberia,liberia
6564,le luxembourg,luxembourg,pays du monde en,,luxembourg,luxembourg,luxembourg,le luxembourg,luxembourg,luxembourg
6565,le malawi,malawi,pays du monde en,,malawi,malawi,malawi,le malawi,malawi,malawi
6566,le mali,mali,pays du monde en,,mali,mali,mali,le mali,mali,mali
6567,le maroc,morocco,pays du monde en,,morocco,morocco,morocco,le maroc,maroc,maroc
6568,le mexique,mexico,pays du monde en,,mexico,mexico,mexico,le mexique,mexique,mexiqu
6569,le mozambique,mozambique,pays du monde en,,mozambique,mozambique,mozambiqu,le mozambique,mozambique,mozambiqu
6570,le népal,nepal,pays du monde en,,nepal,nepal,nepal,le népal,népal,népal
6571,le nicaragua,nicaragua,pays du monde en,,nicaragua,nicaragua,nicaragua,le nicaragua,nicaragua,nicaragua
6572,le niger,niger (the),pays du monde en,,niger the,niger,niger,le niger,niger,niger
6573,le nigeria,nigeria,pays du monde en,,nigeria,nigeria,nigeria,le nigeria,nigeria,nigeria
6574,le pakistan,pakistan,pays du monde en,,pakistan,pakistan,pakistan,le pakistan,pakistan,pakistan
6575,le panama,panama,pays du monde en,,panama,panama,panama,le panama,panama,panama
6576,le paraguay,paraguay,pays du monde en,,paraguay,paraguay,paraguay,le paraguay,paraguay,paraguay
6577,le pérou,peru,pays du monde en,,peru,peru,peru,le pérou,pérou,pérou
6578,le portugal,portugal,pays du monde en,,portugal,portugal,portug,le portugal,portugal,portug
6579,le qatar,qatar,pays du monde en,,qatar,qatar,qatar,le qatar,qatar,qatar
6580,le royaume-uni,united kingdom (the),pays du monde en,,united kingdom the,united kingdom,united kingdom,le royaumeuni,royaumeuni,royaumeuni
6581,le rwanda,rwanda,pays du monde en,,rwanda,rwanda,rwanda,le rwanda,rwanda,rwanda
6582,le salvador,el salvador,pays du monde en,,el salvador,salvador,salvador,le salvador,salvador,salvador
6583,le sénégal,senegal,pays du monde en,,senegal,senegal,seneg,le sénégal,sénégal,sénégal
6584,le soudan,sudan,pays du monde en,,sudan,sudan,sudan,le soudan,soudan,soudan
6585,le sri lanka,sri lanka,pays du monde en,,sri lanka,sri lanka,sri lanka,le sri lanka,sri lanka,sri lanka
6586,le suriname,suriname,pays du monde en,,suriname,suriname,surinam,le suriname,suriname,surinam
6587,le swaziland,swaziland,pays du monde en,,swaziland,swaziland,swaziland,le swaziland,swaziland,swaziland
6588,le tadjikistan,tajikistan,pays du monde en,,tajikistan,tajikistan,tajikistan,le tadjikistan,tadjikistan,tadjikistan
6589,le tchad,chad,pays du monde en,,chad,chad,chad,le tchad,tchad,tchad
6590,le togo,togo,pays du monde en,,togo,togo,togo,le togo,togo,togo
6591,le tonga,tonga,pays du monde en,,tonga,tonga,tonga,le tonga,tonga,tonga
6592,le vanuatu,vanuatu,pays du monde en,,vanuatu,vanuatu,vanuatu,le vanuatu,vanuatu,vanuatu
