ID,FRENCH,ENGLISH,THEME,IMPORTANT
5272,des façons autoritaires,authoritarian ways,politique gouvernement,
5273,des mesures énergiques,drastic measures,politique gouvernement,
5274,gouvernement central,central government,politique gouvernement,
5275,héréditaire,hereditary,politique gouvernement,
5276,ingouvernable,ungovernable,politique gouvernement,
5277,l’apparat,pageantry,politique gouvernement,
5278,l’électorat,the electorate,politique gouvernement,
5279,la chambre des communes,the house of commons,politique gouvernement,
5280,la chambre des lords,the house of lords,politique gouvernement,
5281,la démocratie,democracy,politique gouvernement,
5282,la dictature,dictatorship,politique gouvernement,
5283,la maison blanche,the white house,politique gouvernement,
5284,la princesse héritière,the crown princess,politique gouvernement,
5285,la reine mère,the queen mother,politique gouvernement,
5286,la royauté,royalty,politique gouvernement,
5287,la tribune de presse,the press gallery,politique gouvernement,
5288,le chancelier,the chancellor,politique gouvernement,
5289,le chef d’un parti,the leader of a party,politique gouvernement,
5290,le climat politique,the political climate,politique gouvernement,
5291,le corps diplomatique,the diplomatic corps,politique gouvernement,
5292,le couronnement,the coronation,politique gouvernement,
5293,le drapeau britannique,the union jack,politique gouvernement,
5294,le jour des élections,polling day,politique gouvernement,
5295,le lord chancelier,the lord chancellor,politique gouvernement,
5296,le parti au pouvoir,the party in power,politique gouvernement,
5297,le parti conservateur,the conservative party,politique gouvernement,
5298,le parti libéral,the liberal party,politique gouvernement,
5299,le parti républicain,the republican party,politique gouvernement,
5300,le parti travailliste,the labour party,politique gouvernement,
5301,le premier tour,the first ballot,politique gouvernement,
5302,le prince consort,the prince consort,politique gouvernement,
5303,le résultat du scrutin,the result of the poll,politique gouvernement,
5304,le sénat,the senate,politique gouvernement,
5305,le socialisme,socialism,politique gouvernement,
5306,le système électoral,the electoral system,politique gouvernement,
5307,le système politique,the political system,politique gouvernement,
5308,les droits de l’homme,human rights,politique gouvernement,
5309,les électeurs,the constituents,politique gouvernement,
5310,les élections,elections,politique gouvernement,
5311,les législatives,the general election,politique gouvernement,
5312,les maisons du parlement,the houses of parliament,politique gouvernement,
5313,les municipales,the municipal election,politique gouvernement,
5314,les républicains,the republicans,politique gouvernement,
5315,malhonnête,dishonest,politique gouvernement,
5316,politique étrangère,foreign policy,politique gouvernement,
5317,politique intérieure,domestic policy,politique gouvernement,
5318,socialiste,socialist,politique gouvernement,
5319,son altesse royale,his/her royal highness,politique gouvernement,
5320,tyrannique,tyrannic(al),politique gouvernement,
5321,un anarchiste,an anarchist,politique gouvernement,
5322,un bulletin de vote,a ballot paper,politique gouvernement,
5323,un bureau de vote,a polling station,politique gouvernement,
5324,un candidat,a candidate,politique gouvernement,
5325,un chef d’état,a head of state,politique gouvernement,
5326,un communiste,a communist,politique gouvernement,
5327,un comte,an earl/ a count,politique gouvernement,
5328,un débat anime,a heated debate,politique gouvernement,
5329,un diplomate,a diplomat,politique gouvernement,
5330,un duc,a duke,politique gouvernement,
5331,un empereur,an emperor,politique gouvernement,
5332,un isoloir,a polling booth,politique gouvernement,
5333,un monarque,a monarch,politique gouvernement,
5334,un parti politique,a political party,politique gouvernement,
5335,un président,a president,politique gouvernement,
5336,un problème clé,a key issue,politique gouvernement,
5337,un secret d’état,a state secret,politique gouvernement,
5338,un souverain,a sovereign,politique gouvernement,
5339,un sujet de dispute,a bone of contention,politique gouvernement,
5340,un supporter loyal,a staunch supporter,politique gouvernement,
5341,un système parlementaire,a parliamentary system,politique gouvernement,
5342,un tyran,a tyrant,politique gouvernement,
5343,un vote blanc,a blank vote,politique gouvernement,
5344,une bataille politique,a political battle,politique gouvernement,
5345,une campagne électorale,an election campaign,politique gouvernement,
5346,une campagne politique,a political campaign,politique gouvernement,
5347,une carrière politique,a political career,politique gouvernement,
5348,une comtesse,a countess,politique gouvernement,
5349,une date historique,a milestone,politique gouvernement,
5350,une défaite cuisante,a crushing defeat,politique gouvernement,
5351,une dénonciation,a denunciation,politique gouvernement,
5352,une duchesse,a duchess,politique gouvernement,
5353,une junte militaire,a military junta,politique gouvernement,
5354,une majorité écrasante,an overwhelming majority,politique gouvernement,
5355,une taupe,a mole,politique gouvernement,
5356,une urne,a ballot box,politique gouvernement,
5357,compter les votes,to count the votes,politique gouvernement,
5358,abolir,to abolish,politique gouvernement,
5359,approuver,to approve of,politique gouvernement,
5360,assister a une réunion,to attend a meeting,politique gouvernement,
5361,avoir des implications,to have far-reaching,politique gouvernement,
5362,avoir le droit de vote,to be entitled to vote,politique gouvernement,
5363,calomnier quelqu’un,to slander sb,politique gouvernement,
5364,conclure un accord,to strike a deal,politique gouvernement,
5365,conférer un titre,to confer a title,politique gouvernement,
5366,contenir les abus,to curb abuses,politique gouvernement,
5367,créer,to found,politique gouvernement,
5368,déclencher un mouvement,to trigger a movement,politique gouvernement,
5369,demander des élections,to call for an election,politique gouvernement,
5370,dénoncer la torture,to denounce torture,politique gouvernement,
5371,détourner,to embezzle,politique gouvernement,
5372,donner une impulsion a,to give an impetus to,politique gouvernement,
5373,enflammer un débat,to ignite a debate,politique gouvernement,
5374,étouffer,to smother,politique gouvernement,
5375,être apolitique,to be apolitical,politique gouvernement,
5376,être en tête/derrière,to be ahead/behind,politique gouvernement,
5377,éviter les attaques,to ward off attacks,politique gouvernement,
5378,exercer le pouvoir,to wield power,politique gouvernement,
5379,faire obstacle à,to hinder,politique gouvernement,
5380,faire pression sur,to lobby,politique gouvernement,
5381,fermer les yeux sur,to turn a blind eye on,politique gouvernement,
5382,former une coalition,to form a coalition,politique gouvernement,
5383,gagner la confiance de,to win the confidence of,politique gouvernement,
5384,garantir un droit,to guarantee a right,politique gouvernement,
5385,grimper,to soar,politique gouvernement,
5386,monter sur le trône,to ascend the throne,politique gouvernement,
5387,mourir sans héritier,to die heirless,politique gouvernement,
5388,museler,to muzzle,politique gouvernement,
5389,nommer,to appoint/ to nominate,politique gouvernement,
5390,opprimer,to oppress,politique gouvernement,
5391,passer une loi,to pass a law,politique gouvernement,
5392,porter un coup,to deal a blow,politique gouvernement,
5393,promettre,to promise,politique gouvernement,
5394,ratifier,to ratify,politique gouvernement,
5395,rédiger une résolution,to draft a resolution,politique gouvernement,
5396,rejeter,to reject,politique gouvernement,
5397,remanier,to reshuffle,politique gouvernement,
5398,renoncer a,to renounce,politique gouvernement,
5399,renvoyer,to dismiss,politique gouvernement,
5400,réprimer les troubles,to quell disturbances,politique gouvernement,
5401,restaurer la monarchie,to restore monarchy,politique gouvernement,
5402,revenir au pouvoir,to return to power,politique gouvernement,
5403,révoquer,to remove from office,politique gouvernement,
5404,s’abstenir,to abstain from voting,politique gouvernement,
5405,s’attaquer a un problème,to tackle a problem,politique gouvernement,
5406,s’ingérer dans,to interfere with,politique gouvernement,
5407,se méfier de quelqu’un,to mistrust somebody,politique gouvernement,
5408,semer le trouble,to rock the boat,politique gouvernement,
5409,sonder,to take a poll,politique gouvernement,
5410,soumettre a,to submit to,politique gouvernement,
5411,suivre la ligne du parti,to follow the party line,politique gouvernement,
5412,suivre la politique de,to follow the policy of,politique gouvernement,
5413,supporter un parti,to support a party,politique gouvernement,
5414,voter,to vote,politique gouvernement,
5415,une plaisanterie,a joke,politique gouvernement,
5416,abattu/ découragé,downcast/ dispirited,sentiments et emotions en mots,
5417,ahuri,dumbfounded,sentiments et emotions en mots,
5418,boudeur/ maussade,sulky/ sullen,sentiments et emotions en mots,
5419,consterné,dismayed,sentiments et emotions en mots,
5420,époustouflé,ﬂabbergasted,sentiments et emotions en mots,
5421,gai/ plein d’entrain,cheerful,sentiments et emotions en mots,
5422,gai/joyeux,merry,sentiments et emotions en mots,
5423,la colère,anger,sentiments et emotions en mots,
5424,la gaieté,mirth,sentiments et emotions en mots,
5425,la joie,joy,sentiments et emotions en mots,
5426,la joie/ l’allégresse,glee,sentiments et emotions en mots,
5427,la satisfaction,satisfaction,sentiments et emotions en mots,
5428,le plaisir,pleasure,sentiments et emotions en mots,
5429,radieux,beaming,sentiments et emotions en mots,
5430,redoutable/ effroyable,formidable,sentiments et emotions en mots,
5431,terriﬁant,terrifying,sentiments et emotions en mots,
5432,triste/ mélancolique,gloomy,sentiments et emotions en mots,
5433,une frayeur,a fright,sentiments et emotions en mots,
5434,avoir le cafard,to feel depressed,sentiments et emotions en mots,
5435,avoir sale caractère,to have a nasty temper,sentiments et emotions en mots,
5436,avoir une peur bleue,to be scared stiff,sentiments et emotions en mots,
5437,broyer du noir,to feel blue,sentiments et emotions en mots,
5438,éclater de rire,to burst out laughing,sentiments et emotions en mots,
5439,être attristé par,to be saddened by,sentiments et emotions en mots,
5440,être bouleversé,to be upset,sentiments et emotions en mots,
5441,être terrorisé,to be terriﬁed,sentiments et emotions en mots,
5442,frissonner,to shudder,sentiments et emotions en mots,
5443,gémir,to wail,sentiments et emotions en mots,
5444,mourir de chagrin,to die of grief,sentiments et emotions en mots,
5445,pleurer quelqu’un,to grieve for somebody,sentiments et emotions en mots,
5446,rayonner de joie,to beam with joy,sentiments et emotions en mots,
5447,rendre furieux,to infurlate,sentiments et emotions en mots,
5448,rire a gorge déployée,to roar with laughter,sentiments et emotions en mots,
5449,s’emporter,to flare up,sentiments et emotions en mots,
5450,sangloter,to sob,sentiments et emotions en mots,
5451,sauter/pleurer de joie,to jump/to weep for joy,sentiments et emotions en mots,
5452,se lamenter sur,to whine about,sentiments et emotions en mots,
5453,se mettre en colère,to lose one’s temper,sentiments et emotions en mots,
5454,se mettre en rage,to ﬂy into a rage,sentiments et emotions en mots,
5455,se plaindre de,to complain about,sentiments et emotions en mots,
5456,se vexer de,to take offence at,sentiments et emotions en mots,
5457,vivre sur les nerfs,to live on one’s nerves,sentiments et emotions en mots,
5458,le jeu d’acteur,acting,sentiments et emotions en mots,
5459,des accessoires,a property/ a props,films et cinema,
5460,des épreuves de tournage,rushes,films et cinema,
5461,des plan d’archives,a stock shot,films et cinema,
5462,doublé,dubbed,films et cinema,
5463,en décor/ studio,on set,films et cinema,
5464,l’arrière plan,the background,films et cinema,
5465,l’intrigue,a plot,films et cinema,
5466,la bande annonce,a trailer,films et cinema,
5467,la caméra subjective,a point of view shot,films et cinema,
5468,la mise en scène,the direction,films et cinema,
5469,la musique de fond,the background music,films et cinema,
5470,la narrative,a story / a plot,films et cinema,
5471,la profondeur de champ,the depth of field,films et cinema,
5472,le cadrage,the framing,films et cinema,
5473,le champ,the field of vision,films et cinema,
5474,le genre,the genre,films et cinema,
5475,le grand écran,the big screen,films et cinema,
5476,le montage,editing,films et cinema,
5477,le montage final,the final cut,films et cinema,
5478,le personnage principal,the main character,films et cinema,
5479,le premier plan,the foreground,films et cinema,
5480,les sous-titres,subtitles,films et cinema,
5481,mal joué,badly acted,films et cinema,
5482,on tourne !,action!,films et cinema,
5483,prévisible,predictable,films et cinema,
5484,un acteur/une actrice,an actor/ an actress,films et cinema,
5485,un angle de prise de vue,a camera angle,films et cinema,
5486,un court métrage,a short film,films et cinema,
5487,un double/ une doublure,a body double,films et cinema,
5488,un échec/ un four,a flop,films et cinema,
5489,un écran de projection,a projection screen,films et cinema,
5490,un extrait de film,a film clip,films et cinema,
5491,un faux raccord,a jump cut,films et cinema,
5492,un film qui fait recette,a box office hit,films et cinema,
5493,un fondu,a fade out,films et cinema,
5494,un grand rôle,a major role,films et cinema,
5495,un moment clé,a key moment,films et cinema,
5496,un panoramique,a pan/ a panning shot,films et cinema,
5497,un petit rôle,a minor role,films et cinema,
5498,un plan fixe,a still shot,films et cinema,
5499,un plan séquence,a sequence shot,films et cinema,
5500,un ralenti,slow motion,films et cinema,
5501,un remake,a remake,films et cinema,
5502,un rôle,a part/ a role,films et cinema,
5503,un spoiler,a spoiler,films et cinema,
5504,un timelapse,a time lapse,films et cinema,
5505,un travelling,tracking shot,films et cinema,
5506,un visionnage,viewing / screening,films et cinema,
5507,une avant-première,a premiere/ a preview,films et cinema,
5508,une bobine,a reel,films et cinema,
5509,une cabine de projection,a projection room,films et cinema,
5510,une contre-plongée,a low angle shot,films et cinema,
5511,une date de sortie,a release date,films et cinema,
5512,une deuxième prise,a retake,films et cinema,
5513,une récompense/ un prix,an award,films et cinema,
